/OUT1 X,/OUT1 Y,/OUT2 X,/OUT2 Y,/OUT0 X,/OUT0 Y,/OUT2' X,/OUT2' Y,/OUT1' X,/OUT1' Y,/OUT0' X,/OUT0' Y,/I0/VQ X,/I0/VQ Y,/OUT3 X,/OUT3 Y
3.059999999999981e-06,1.606259586822498,3.059999999999981e-06,1.793605934573713,3.059999999999981e-06,0.08212183519120272,3.059999999999981e-06,0.002230924543266251,3.059999999999981e-06,1.392564226539384,3.059999999999981e-06,1.736032306228336,3.059999999999981e-06,1.142306465412757,3.059999999999981e-06,1.79938914735671
3.069999999999981e-06,1.638377231401302,3.069999999999981e-06,-0.00199635634334026,3.069999999999981e-06,0.09923419246637762,3.069999999999981e-06,1.793254356564885,3.069999999999981e-06,1.400691404521736,3.069999999999981e-06,1.720368717994077,3.069999999999981e-06,1.142262990784842,3.069999999999981e-06,0.004388083536668541
3.079999999999981e-06,1.614751750383485,3.079999999999981e-06,1.794494130786422,3.079999999999981e-06,0.1080099488591646,3.079999999999981e-06,0.003432448097219135,3.079999999999981e-06,1.365357968031881,3.079999999999981e-06,1.711452986784071,3.079999999999981e-06,1.142219594911566,3.079999999999981e-06,0.0002677823502104766
3.089999999999981e-06,1.64348509427016,3.089999999999981e-06,-0.001992534818102723,3.089999999999981e-06,0.1212504552808023,3.089999999999981e-06,1.794854775007377,3.089999999999981e-06,1.383315589193283,3.089999999999981e-06,1.697262250966498,3.089999999999981e-06,1.142042250000393,3.089999999999981e-06,1.714487883307753
3.09999999999998e-06,1.622082645416057,3.09999999999998e-06,1.794733437207322,3.09999999999998e-06,0.1273995228717644,3.09999999999998e-06,0.001903568460729681,3.09999999999998e-06,1.342232216460633,3.09999999999998e-06,1.688106214115674,3.09999999999998e-06,1.142242493323856,3.09999999999998e-06,1.799430863223958
3.10999999999998e-06,1.650635916459719,3.10999999999998e-06,-0.001882496655986687,3.10999999999998e-06,0.1456214832554408,3.10999999999998e-06,1.793953694589683,3.10999999999998e-06,1.355119907021417,3.10999999999998e-06,1.671964401371569,3.10999999999998e-06,1.142203993320863,3.10999999999998e-06,0.00402632977800626
3.11999999999998e-06,1.630306684272506,3.11999999999998e-06,1.795499246572151,3.11999999999998e-06,0.1574328077522668,3.11999999999998e-06,0.002939879865484355,3.11999999999998e-06,1.313250683086714,3.11999999999998e-06,1.659928095491045,3.11999999999998e-06,1.142164872044191,3.11999999999998e-06,0.0003288196070382638
3.12999999999998e-06,1.657550038946935,3.12999999999998e-06,-0.001853020370568756,3.12999999999998e-06,0.1739467515627277,3.12999999999998e-06,1.795468125495725,3.12999999999998e-06,1.330698828585326,3.12999999999998e-06,1.642517182259154,3.12999999999998e-06,1.141990637635658,3.12999999999998e-06,1.719757502989139
3.13999999999998e-06,1.638065527064562,3.13999999999998e-06,1.79592395593155,3.13999999999998e-06,0.1831607507457386,3.13999999999998e-06,0.001641164989822126,3.13999999999998e-06,1.286113531113153,3.13999999999998e-06,1.630160741724171,3.13999999999998e-06,1.142187797719407,3.13999999999998e-06,1.799469419588347
3.14999999999998e-06,1.66500040318856,3.14999999999998e-06,-0.001670770178072814,3.14999999999998e-06,0.2013918882693473,3.14999999999998e-06,1.79469043053114,3.14999999999998e-06,1.299172994750153,3.14999999999998e-06,1.613958987805868,3.14999999999998e-06,1.142152448672641,3.14999999999998e-06,0.003652724598216649
